year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
1996,COAL,115,147,156,160,6.27335651912206,1.14561907579389,NA,NA
1997,COAL,129,155,164,166,5.51814847390767,2.11668366719864,18.031222920257,16.2957461599044
1998,COAL,112,134,128,138,1.20127789714215,0.448958482303388,NA,NA
1999,COAL,120,139,138,138,5.49468192755186,3.46417955781382,0,7.07110316706537e-05
2000,COAL,122,143,162,162,2.19418562480142,0.296078245437045,0,5.30332737580146e-05
2001,COAL,130,141,153,160,3.96520720145173,3.12971060947277,2.25,5.76187707259267
2002,COAL,107,NA,NA,NA,3.83726530201368,1.18923876053516,2.59807621135332,2.59809064709149
2003,COAL,121,NA,160,161,1.37007022486159,4.90740078881865,NA,NA
2004,COAL,116,NA,NA,NA,6.8262096513854,4.12500227927515,3.53553390593274,16.9704778952391
2005,COAL,114,NA,NA,NA,5.66827141824829,2.86913503670579,NA,NA
2006,COAL,113,NA,NA,NA,1.69586002886898,4.57966806227564,NA,NA
2007,COAL,123,NA,NA,NA,2.72085174532046,3.2016124852672,NA,NA
2008,COAL,116,NA,NA,NA,2.73332805733888,4.72476901520746,NA,NA
2009,COAL,116,NA,NA,NA,4.9533784374345,5.5595099269171,4.59619407771256,4.59633019644853
2010,COAL,99,NA,NA,NA,2.79997229664021,4.81527690519061,NA,NA
2011,COAL,120,NA,NA,NA,0.987419868574463,3.00966508208764,3.75277674973257,3.58738357135978
2012,COAL,109,NA,NA,NA,0.0676109413281554,0.833336682084679,10.9601551083915,NA
2013,COAL,121,NA,NA,NA,1.59509982903768,1.52864533646043,0,0.314303464686939
2014,COAL,127,NA,NA,NA,4.02788278214704,6.63225019401423,NA,NA
2015,COAL,119,NA,NA,NA,0.453714768573846,1.40821609220709,NA,NA
2016,COAL,116,NA,NA,NA,0,0.117733867736904,4.59619407771256,3.77142237204499
2017,COAL,117,NA,NA,NA,0,0.944880828226751,NA,NA
2018,COAL,124,NA,NA,NA,1.86034879820021,3.39617925538714,NA,NA
2019,COAL,120,NA,NA,NA,2.12053370557409,2.53208658309123,0,5.30332737580146e-05
2020,COAL,129,NA,NA,NA,1.23419223833515,1.80035454970931,3.18198051533946,3.69274927820471
2021,COAL,122,NA,NA,NA,2.67225400531764,1.62536107396024,5.48482755730144,2.81298027011961
1990,CRSP,123,155,NA,NA,0,1.07922126988926,2.88675134594813,1.07419311885157
1991,CRSP,118,145,NA,NA,2.39491783301555,3.13143043517584,NA,NA
1992,CRSP,130,166,NA,NA,2.41242680250309,2.30173555002291,7.07548584904245,3.01084887000141
1993,CRSP,115,138,NA,NA,0.104283431330523,4.16349973472342,0,0.262709160426128
1994,CRSP,120,145,NA,NA,5.32748583185759,4.93796022547542,NA,NA
1995,CRSP,124,145,NA,NA,3.23707601387156,3.0239014730442,NA,NA
1996,CRSP,118,148,NA,NA,4.09322999507468,5.56351176853372,2.73861278752583,5.37624608946987
1997,CRSP,127,151,NA,NA,2.79395200315034,0.77912253254053,NA,NA
1998,CRSP,112,135,NA,NA,2.50839734014035,2.45705785532355,0,3.44132559843372
1999,CRSP,123,140,NA,NA,3.03164709422515,4.85536945433078,NA,NA
2000,CRSP,125,144,NA,NA,2.75284658384348,1.39442473564841,NA,NA
2001,CRSP,123,138,NA,NA,1.61562967490559,1.9707965632629,NA,NA
2002,CRSP,118,NA,NA,NA,2.53200932205197,0.512637315902063,NA,NA
2003,CRSP,129,NA,144,145,1.97977229779139,1.69999320710804,2.47487373415292,NA
2004,CRSP,123,NA,NA,NA,0.418954621150901,0.77467794799037,NA,NA
2005,CRSP,123,NA,NA,NA,0.194509002606321,1.6991918455005,18.031222920257,18.0314863188499
2006,CRSP,123,NA,NA,NA,2.75790848116106,2.80745624106889,NA,NA
2007,CRSP,127,NA,NA,NA,3.94842803711699,2.17196226820925,NA,NA
2008,CRSP,125,NA,NA,NA,2.55942235127329,2.98474724901128,3.17542648054294,3.17545390481784
2009,CRSP,118,NA,NA,NA,2.59004272527413,0.582780275621389,NA,NA
2010,CRSP,107,NA,NA,NA,2.31819161068033,4.70306038941053,18.7383297014435,4.22136373768862
2011,CRSP,125,NA,NA,NA,4.95988459877805,2.84756549623062,NA,NA
