"datasetID","genus","species","study","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp","wein","gen.spa"
"pettersen71","Rhododendron","simsii","exp2",1,1,"0","7","4","0","0","1",0,"Rhododendron_simsii"
"pettersen71","Rhododendron","simsii","exp1",1,1,"0","1","6","0","0","1",0,"Rhododendron_simsii"
"ruesink98","Pieris","japonica","exp2",1,1,"1","0","2","0","0","1",1,"Pieris_japonica"
"ruesink98","Pieris","japonica","exp3",1,1,"1","3","2","0","0","1",1,"Pieris_japonica"
"ruesink98","Pieris","japonica","exp5",1,1,"1","3","1","0","0","1",1,"Pieris_japonica"
"schnabel87","Vitis","vinifera","exp1",2,2,"16","15","7","0","0","1",1,"Vitis_vinifera"
"schnabel87","Vitis","vinifera","exp1",2,2,"16","15","7","0","2","1",1,"Vitis_vinifera"
"skuterud94","Betula","pendula","exp1",3,6,"1","4","1","0","7","1",0,"Betula_pendula"
"skuterud94","Betula","pendula","exp1",3,6,"1","4","1","4","7","1",0,"Betula_pendula"
"sogaard08","Picea","abies","exp1a",1,1,"0","1","1","0","0","1",0,"Picea_abies"
"sogaard08","Picea","abies","exp2",1,1,"0","1","2","0","0","1",0,"Picea_abies"
"sogaard08","Picea","abies","exp3a",1,1,"0","1","1","0","0","1",0,"Picea_abies"
"sogaard08","Picea","abies","exp1b",1,1,"0","1","1","1","0","1",0,"Picea_abies"
"sogaard08","Picea","abies","exp1b",1,1,"0","1","1","1","4","1",0,"Picea_abies"
"sogaard08","Picea","abies","exp3b",1,1,"0","1","1","1","3","1",0,"Picea_abies"
"sogaard08","Picea","abies","exp2",1,1,"0","1","2","2","2","1",0,"Picea_abies"
"sonsteby13","Ribes","nigrum","exp1",8,8,"0","0","13","0","0","1",0,"Ribes_nigrum"
"sonsteby13","Ribes","nigrum","exp2",7,7,"0","0","13","0","0","1",0,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp2",3,3,"1","1","1","5","4","1",1,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp3",2,2,"1","1","1","5","3","1",1,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp4",3,3,"1","1","1","0","3","1",1,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp2",3,3,"1","1","1","0","4","1",1,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp3",2,2,"1","1","1","0","3","1",1,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp5",1,1,"1","1","1","0","1","1",1,"Ribes_nigrum"
"sonsteby14","Ribes","nigrum","exp1",5,5,"1","1","1","1","9","1",1,"Ribes_nigrum"
"spiers74","Vaccinium","ashei","exp2",1,1,"8","1","1","0","0","1",1,"Vaccinium_ashei"
"spiers74","Vaccinium","ashei","exp1",1,1,"1","1","1","1","0","1",1,"Vaccinium_ashei"
"spiers74","Vaccinium","ashei","exp1",1,1,"1","1","1","1","5","1",1,"Vaccinium_ashei"
"swartz81","Malus","domestica","exp1",1,1,"1","1","1","1","2","1",0,"Malus_domestica"
"thielges75","Populus","deltoides","exp1",0,0,"1","1","1","0","0","1",0,"Populus_deltoides"
"thielges75","Populus","deltoides","exp1",0,0,"1","1","1","2","10","1",0,"Populus_deltoides"
"viheraaarnio06","Betula","pendula","exp3",2,1,"0","1","9","0","0","1",0,"Betula_pendula"
"viheraaarnio06","Betula","pendula","exp1",2,1,"0","1","4","0","0","1",0,"Betula_pendula"
"viheraaarnio06","Betula","pendula","exp2",2,1,"0","1","8","0","0","1",0,"Betula_pendula"
"webb78","Fraxinus","americana","exp2",1,1,"2","1","1","0","2","3",1,"Fraxinus_americana"
"webb78","Acer","saccharum","exp2",1,1,"2","1","1","0","2","3",1,"Acer_saccharum"
"webb78","Acer","saccharinum","exp2",1,1,"2","1","1","0","2","3",1,"Acer_saccharinum"
"webb78","Acer","saccharum","exp1",1,1,"1","1","1","1","0","3",1,"Acer_saccharum"
